rank,list_name,entry_id,attestation_status,phase7_status,beginner_flag,beginner_rationale,display_form,ehn_spoken_form,msn_headword,current_msn_headword,gloss_en,gloss_es,part_of_speech,semantic_domain,register,variety,pedagogical_score,source_file,source_reference,source_confidence,rule_trace
251,core_ehn_500,kw::tlayohuilotl::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlayohuilotl,tlayohuilotl,tlayowilotl,tlayohuilotl,night,,noun,time_calendar,EHN_colloquial,Eastern Huasteca Nahuatl,105,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlayohuilotl::sense-1,0.95,hu> w before vowel
252,core_ehn_500,kw::hueyinana::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,hueyinana,hueyinana,weyinana,hueyinana,grandmother,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,105,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::hueyinana::sense-1,0.95,hu> w before vowel
253,core_ehn_500,kw::hueyitata::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,hueyitata,hueyitata,weyitata,hueyitata,grandfather,,noun,people_family,EHN_colloquial,Eastern Huasteca Nahuatl,105,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::hueyitata::sense-1,0.95,hu> w before vowel
254,core_ehn_500,kw::cualtitoc::1,EHN_attested,approved_core_candidate,safe,safe: general_everyday_candidate,cualtitoc,cualtitoc,kualtitok,cualtitoc,"fine, ok",,intj,general,EHN_colloquial,Eastern Huasteca Nahuatl,104,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cualtitoc::sense-1,0.95,hard c > k
255,core_ehn_500,kw::altepetlehquetl::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,altepetlehquetl,altepetlehquetl,altepetlehketl,altepetlehquetl,"the inhabitant of an altepetl, town",,noun,home_objects,EHN_colloquial,Eastern Huasteca Nahuatl,103,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::altepetlehquetl::sense-1,0.95,qu > k before front vowel
256,core_ehn_500,kw::amacamanalli::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,amacamanalli,amacamanalli,amakamanalli,amacamanalli,map,,noun,home_objects,EHN_colloquial,Eastern Huasteca Nahuatl,103,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::amacamanalli::sense-1,0.95,hard c > k
257,core_ehn_500,kw::amatlahcuilolli::2,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,amatlahcuilolli,amatlahcuilolli,amatlahkuilolli,amatlahcuilolli,A letter,,noun,home_objects,EHN_colloquial,Eastern Huasteca Nahuatl,103,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::amatlahcuilolli::sense-2,0.95,hard c > k
258,core_ehn_500,kw::tlaquemitl::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,tlaquemitl,tlaquemitl,tlakemitl,tlaquemitl,blanket,,noun,home_objects,EHN_colloquial,Eastern Huasteca Nahuatl,103,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::tlaquemitl::sense-1,0.95,qu > k before front vowel
259,core_ehn_500,kw::azoltic::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,azoltic,azoltic,asoltik,azoltic,blue,,adj,quality_color,EHN_colloquial,Eastern Huasteca Nahuatl,102,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::azoltic::sense-1,0.95,z > s; hard c > k
260,core_ehn_500,kw::ehquetl::1,EHN_attested,approved_core_candidate,safe,safe: general_everyday_candidate,ehquetl,ehquetl,ehketl,ehquetl,being,,noun,general,EHN_colloquial,Eastern Huasteca Nahuatl,102,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ehquetl::sense-1,0.95,qu > k before front vowel
261,core_ehn_500,kw::icelti::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,icelti,icelti,iselti,icelti,alone,,adj,quality_color,EHN_colloquial,Eastern Huasteca Nahuatl,102,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::icelti::sense-1,0.95,soft c > s
262,core_ehn_500,kw::isocapa::1,EHN_attested,approved_core_candidate,safe,safe: core_everyday_domain,isocapa,isocapa,isokapa,isocapa,fast,,adj,quality_color,EHN_colloquial,Eastern Huasteca Nahuatl,102,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::isocapa::sense-1,0.95,hard c > k
263,core_ehn_500,kw::kawayoh::3,EHN_attested,approved_core_candidate,safe,safe: general_everyday_candidate,kawayoh,kawayoh,kawayoh,kawayoh,beast,,noun,general,EHN_colloquial,Eastern Huasteca Nahuatl,102,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::kawayoh::sense-3,0.95,identity
264,core_ehn_500,kw::zayoltzi::1,EHN_attested,approved_core_candidate,safe,safe: general_everyday_candidate,zayoltzi,zayoltzi,sayoltsi,zayoltzi,bee,,noun,general,EHN_colloquial,Eastern Huasteca Nahuatl,102,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::zayoltzi::sense-1,0.95,z > s
