priority_id,headword,gloss_en,part_of_speech,first_lesson_number,lesson_frequency,occurrence_count,linked_entry_count,avg_confidence,lessons_json
FCN-VP-00170,huahcapan,,,19,2,2,0,0.4,"[19, 22]"
FCN-VP-00171,motequihuia,,,19,2,2,0,0.4,"[19, 22]"
FCN-VP-00172,piyonacatl,,,19,2,2,0,0.4,"[19, 27]"
FCN-VP-00173,quena,"yes, positive response.",particle,19,2,2,1,0.9,"[19, 27]"
FCN-VP-00174,ticnequih,,,19,2,2,0,0.4,"[19, 31]"
FCN-VP-00175,tiquihtozceh,,,19,2,2,0,0.4,"[19, 22]"
FCN-VP-00176,tlazcāmati,,,19,2,2,0,0.4,"[19, 27]"
FCN-VP-00177,yālhuaya,,,19,2,2,0,0.4,"[19, 26]"
FCN-VP-00178,-huan,Used to form the plural of animate nouns in the possessive form.,suffix,20,2,2,1,0.9,"[20, 23]"
FCN-VP-00179,cintli,corncob,noun,21,2,2,1,0.9,"[21, 22]"
FCN-VP-00180,cualcan,,,21,2,2,0,0.4,"[21, 24]"
FCN-VP-00181,exchange,,,21,2,2,0,0.4,"[21, 27]"
FCN-VP-00182,macehualli,a commoner; a subject; a vassal,noun,21,2,2,1,0.9,"[21, 22]"
FCN-VP-00183,mochihua,,,21,2,2,0,0.4,"[21, 22]"
FCN-VP-00184,petlayoh,,,21,2,2,0,0.4,"[21, 22]"
FCN-VP-00185,quemman,,,21,2,2,0,0.4,"[21, 22]"
FCN-VP-00186,quen,how (in what manner),adv,21,2,2,1,0.9,"[21, 24]"
FCN-VP-00187,tihuallauh,,,21,2,2,0,0.4,"[21, 22]"
FCN-VP-00188,tiquixmati,,,21,2,2,0,0.4,"[21, 29]"
FCN-VP-00189,tlacatl,"a person, a human being",noun,21,2,2,1,0.9,"[21, 22]"
FCN-VP-00190,tlahtolpamitl,,,21,2,2,0,0.4,"[21, 26]"
FCN-VP-00191,xihuitl,year,noun,21,2,2,1,0.9,"[21, 22]"
FCN-VP-00192,xinachtli,Seed.,noun,21,2,2,1,0.9,"[21, 22]"
FCN-VP-00193,axcualli,,,22,2,2,0,0.4,"[22, 31]"
FCN-VP-00194,chicōntēpec,,,22,2,2,0,0.4,"[22, 27]"
FCN-VP-00195,huasteca,,,22,2,2,0,0.4,"[22, 28]"
FCN-VP-00196,ilhuitl,Day.,noun,22,2,2,1,0.9,"[22, 24]"
FCN-VP-00197,quitequihuia,,,22,2,2,0,0.4,"[22, 31]"
FCN-VP-00198,tlamiya,,,22,2,2,0,0.4,"[22, 31]"
FCN-VP-00199,attached,,,23,2,2,0,0.4,"[23, 26]"
FCN-VP-00200,caltēnno,,,23,2,2,0,0.4,"[23, 31]"
FCN-VP-00201,quēnnopa,,,23,2,2,0,0.4,"[23, 31]"
FCN-VP-00202,tla-,Object prefix for verbs; it indicates that the object is non-human and indefinite.,prefix,23,2,2,1,0.9,"[23, 32]"
FCN-VP-00203,tē-,,,23,2,2,0,0.4,"[23, 32]"
FCN-VP-00204,īnacaztlan,,,23,2,2,0,0.4,"[23, 31]"
FCN-VP-00205,huāllaz,,,24,2,2,0,0.4,"[24, 26]"
FCN-VP-00206,huāllazceh,,,24,2,2,0,0.4,"[24, 25]"
FCN-VP-00207,tiitztozquiah,,,24,2,2,0,0.4,"[24, 30]"
FCN-VP-00208,tochān,,,24,2,2,0,0.4,"[24, 26]"
FCN-VP-00209,tēpahtihquetl,,,24,2,2,0,0.4,"[24, 31]"
FCN-VP-00210,whichever,,,24,2,2,0,0.4,"[24, 25]"
FCN-VP-00211,changes,,,25,2,2,0,0.4,"[25, 28]"
FCN-VP-00212,quiāmati,,,28,2,2,0,0.4,"[28, 32]"
FCN-VP-00213,cualāntli,,,29,2,2,0,0.4,"[29, 31]"
FCN-VP-00214,nēci,,,29,2,2,0,0.4,"[29, 31]"
FCN-VP-00215,-tozquia,,,30,2,2,0,0.4,"[30, 31]"
FCN-VP-00216,-zquia,,,30,2,2,0,0.4,"[30, 31]"
FCN-VP-00217,tozquia,,,30,2,2,0,0.4,"[30, 31]"
FCN-VP-00218,zquia,,,30,2,2,0,0.4,"[30, 31]"
FCN-VP-00219,atlas,,,1,1,1,0,0.4,[1]
FCN-VP-00220,blitz,,,1,1,1,0,0.4,[1]
FCN-VP-00221,cōhquī,,,1,1,1,0,0.4,[1]
FCN-VP-00222,cōuhqui,,,1,1,1,0,0.4,[1]
FCN-VP-00223,michel,,,1,1,1,0,0.4,[1]
FCN-VP-00224,particular,,,1,1,1,0,0.4,[1]
FCN-VP-00225,quest,,,1,1,1,0,0.4,[1]
FCN-VP-00226,such,,,1,1,1,0,0.4,[1]
FCN-VP-00227,tentzilincayotl,,,1,1,1,0,0.4,[1]
FCN-VP-00228,teuctli,Lord.,noun,1,1,1,1,0.9,[1]
FCN-VP-00229,tēktli,,,1,1,1,0,0.4,[1]
FCN-VP-00230,tēntlatzacuilcayōtl,,,1,1,1,0,0.4,[1]
FCN-VP-00231,tlamachtiliztli,,,2,1,1,0,0.4,[2]
FCN-VP-00232,totlahtlaniliz,,,2,1,1,0,0.4,[2]
FCN-VP-00233,totlahtol,first-person plural possessive singular of tlahtōlli; (it is) our language; way of speaking.,noun,2,1,1,1,0.9,[2]
FCN-VP-00234,-meh,Used to form the plural of absolutive noun forms ending in -tl or -tli.,suffix,3,1,1,1,0.9,[3]
FCN-VP-00235,axquipiya,,,3,1,1,0,0.4,[3]
FCN-VP-00236,caltlamachticān,,,3,1,1,0,0.4,[3]
FCN-VP-00237,chic,,,3,1,1,0,0.4,[3]
FCN-VP-00238,chocolates,,,3,1,1,0,0.4,[3]
FCN-VP-00239,chocolatl,"A drink with pulverized toasted cacao beans and water, described as cold and foamy. Sometimes fermented and sometimes as a thick drink. It can include a variety of additional ingredients (chili, bee honey, pochotl seeds, pulverized maize corn, vanilla seeds, and many others).",noun,3,1,1,1,0.9,[3]
FCN-VP-00240,cihuāmeh,,,3,1,1,0,0.4,[3]
FCN-VP-00241,comalmeh,,,3,1,1,0,0.4,[3]
FCN-VP-00242,current,,,3,1,1,0,0.4,[3]
FCN-VP-00243,hunter,,,3,1,1,0,0.4,[3]
FCN-VP-00244,incihuāmeh,,,3,1,1,0,0.4,[3]
FCN-VP-00245,inmācēhualmeh,,,3,1,1,0,0.4,[3]
FCN-VP-00246,machines,,,3,1,1,0,0.4,[3]
FCN-VP-00247,martin,,,3,1,1,0,0.4,[3]
FCN-VP-00248,motōcah,,,3,1,1,0,0.4,[3]
FCN-VP-00249,nimācēhualli,,,3,1,1,0,0.4,[3]
FCN-VP-00250,niāan,,,3,1,1,0,0.4,[3]
FCN-VP-00251,notōcah,,,3,1,1,0,0.4,[3]
FCN-VP-00252,ntepēc,,,3,1,1,0,0.4,[3]
FCN-VP-00253,occupation,,,3,1,1,0,0.4,[3]
FCN-VP-00254,tepōzmeh,,,3,1,1,0,0.4,[3]
FCN-VP-00255,ticihuāmeh,,,3,1,1,0,0.4,[3]
FCN-VP-00256,ticihuātl,,,3,1,1,0,0.4,[3]
FCN-VP-00257,timācēhualli,,,3,1,1,0,0.4,[3]
FCN-VP-00258,timācēhualmeh,,,3,1,1,0,0.4,[3]
FCN-VP-00259,tiēhua,,,3,1,1,0,0.4,[3]
FCN-VP-00260,tlatocaxtiliztli,noun.,noun,3,1,1,1,0.9,[3]
FCN-VP-00261,tlatzinpeuhquetl,,,3,1,1,0,0.4,[3]
FCN-VP-00262,tli,,,3,1,1,0,0.4,[3]
FCN-VP-00263,ahāhuilli,,,4,1,1,0,0.4,[4]
FCN-VP-00264,chalchocotl,,,4,1,1,0,0.4,[4]
FCN-VP-00265,chiucnahui,nine,num,4,1,1,1,0.9,[4]
FCN-VP-00266,cuamezah,,,4,1,1,0,0.4,[4]
FCN-VP-00267,cuaxilotl,obsolete spelling of kuaxilotl,noun,4,1,1,1,0.9,[4]
FCN-VP-00268,cēmpohualli,,,4,1,1,0,0.4,[4]
FCN-VP-00269,cōztic,,,4,1,1,0,0.4,[4]
FCN-VP-00270,etloc,,,4,1,1,0,0.4,[4]
FCN-VP-00271,ixnezcayotl,,,4,1,1,0,0.4,[4]
FCN-VP-00272,mācuilli,,,4,1,1,0,0.4,[4]
FCN-VP-00273,niquitta,,,4,1,1,0,0.4,[4]
FCN-VP-00274,quēzqui,,,4,1,1,0,0.4,[4]
FCN-VP-00275,tiquitta,,,4,1,1,0,0.4,[4]
FCN-VP-00276,tlicolli,,,4,1,1,0,0.4,[4]
FCN-VP-00277,tēcciztli,,,4,1,1,0,0.4,[4]
FCN-VP-00278,xicnanquili,,,4,1,1,0,0.4,[4]
FCN-VP-00279,āchīlcōz,,,4,1,1,0,0.4,[4]
FCN-VP-00280,āmoxtli,,,4,1,1,0,0.4,[4]
FCN-VP-00281,īixnēzca,,,4,1,1,0,0.4,[4]
FCN-VP-00282,īxcopincayōtl,,,4,1,1,0,0.4,[4]
FCN-VP-00283,īxnēzcayōtl,,,4,1,1,0,0.4,[4]
FCN-VP-00284,īīxnezca,,,4,1,1,0,0.4,[4]
FCN-VP-00285,ōmpōhualli,,,4,1,1,0,0.4,[4]
FCN-VP-00286,-hquetl,,,5,1,1,0,0.4,[5]
FCN-VP-00287,colatl,,,5,1,1,0,0.4,[5]
FCN-VP-00288,inmomachtianih,,,5,1,1,0,0.4,[5]
FCN-VP-00289,intlachpānanih,,,5,1,1,0,0.4,[5]
FCN-VP-00290,momachtia,,,5,1,1,0,0.4,[5]
FCN-VP-00291,momachtihquetl,,,5,1,1,0,0.4,[5]
FCN-VP-00292,mītzpolohua,,,5,1,1,0,0.4,[5]
FCN-VP-00293,nimomachtihquetl,,,5,1,1,0,0.4,[5]
FCN-VP-00294,nitlachpānquetl,,,5,1,1,0,0.4,[5]
FCN-VP-00295,teachers,,,5,1,1,0,0.4,[5]
FCN-VP-00296,timomachtianih,,,5,1,1,0,0.4,[5]
FCN-VP-00297,timomachtihquetl,,,5,1,1,0,0.4,[5]
FCN-VP-00298,titlachpānanih,,,5,1,1,0,0.4,[5]
FCN-VP-00299,titlachpānquetl,,,5,1,1,0,0.4,[5]
FCN-VP-00300,titles,,,5,1,1,0,0.4,[5]
FCN-VP-00301,tlachpana,,,5,1,1,0,0.4,[5]
FCN-VP-00302,tlachpanānih,,,5,1,1,0,0.4,[5]
FCN-VP-00303,tlachpānanih,,,5,1,1,0,0.4,[5]
FCN-VP-00304,tlachpānquetl,,,5,1,1,0,0.4,[5]
FCN-VP-00305,tlamachtia,,,5,1,1,0,0.4,[5]
FCN-VP-00306,tlamachtianih,,,5,1,1,0,0.4,[5]
FCN-VP-00307,tlamachtihquetl,teacher.,noun,5,1,1,1,0.9,[5]
FCN-VP-00308,xōchipitzāhuatl,,,5,1,1,0,0.4,[5]
FCN-VP-00309,nicōchi,,,6,1,1,0,0.4,[6]
FCN-VP-00310,ēhua,,,6,1,1,0,0.4,[6]
FCN-VP-00311,chocolātl,,,7,1,1,0,0.4,[7]
FCN-VP-00312,choose,,,7,1,1,0,0.4,[7]
FCN-VP-00313,chāntequitl,,,7,1,1,0,0.4,[7]
FCN-VP-00314,cquiya,,,7,1,1,0,0.4,[7]
FCN-VP-00315,huaya,,,7,1,1,0,0.4,[7]
FCN-VP-00316,mocuapaz,,,7,1,1,0,0.4,[7]
FCN-VP-00317,motlancochpahpāca,,,7,1,1,0,0.4,[7]
FCN-VP-00318,mīxxamia,,,7,1,1,0,0.4,[7]
FCN-VP-00319,nelyāhuatzinco,,,7,1,1,0,0.4,[7]
FCN-VP-00320,nicchīhua,,,7,1,1,0,0.4,[7]
FCN-VP-00321,niccuā,,,7,1,1,0,0.4,[7]
FCN-VP-00322,nicōni,,,7,1,1,0,0.4,[7]
FCN-VP-00323,nitlami,,,7,1,1,0,0.4,[7]
